"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(1,2)) []","dB(S(2,2)) []"
16.0575,-21.3490811261559,-3.28988457918681,-3.28988457918641,-21.4077129618609
16.105,-21.6897912795478,-3.28536786594148,-3.28536786594103,-21.7175966691729
16.1525,-22.1058210351678,-3.27564925689464,-3.27564925689418,-22.0929873672984
16.2,-22.5979210492847,-3.26122531641956,-3.26122531641922,-22.529513742204
16.2475,-23.1582285330597,-3.24368171763938,-3.2436817176392,-23.0135466767376
16.295,-23.7607743464836,-3.22583749471619,-3.22583749471613,-23.5154926286444
16.3425,-24.3485067981214,-3.21137400188608,-3.21137400188617,-23.9837117751239
16.39,-24.8265783594136,-3.20380213571723,-3.2038021357174,-24.3478029406694
16.4375,-25.0862390102069,-3.20512391033482,-3.20512391033486,-24.5434429207805
16.485,-25.0715822347406,-3.21498181674547,-3.21498181674535,-24.5540411057675
16.5325,-24.8330499846017,-3.23085365179204,-3.23085365179178,-24.4313858215912
16.58,-24.4943353431284,-3.24906561274349,-3.2490656127431,-24.2665261232684
16.6275,-24.1705549536879,-3.26590706118218,-3.26590706118175,-24.1386676780269
16.675,-23.9217159531827,-3.27832397752605,-3.27832397752567,-24.0845251690586
16.7225,-23.7533830604922,-3.28412140653603,-3.2841214065357,-24.0949862670766
16.77,-23.6348803043212,-3.28186202444579,-3.28186202444557,-24.1244486712128
16.8175,-23.5163569345139,-3.27066000461738,-3.27066000461717,-24.1032305447901
16.865,-23.3418980522004,-3.24998547357759,-3.24998547357743,-23.953638235238
16.9125,-23.0612011593872,-3.21952084097404,-3.21952084097387,-23.6121555176987
16.96,-22.6404600610437,-3.17907192037939,-3.17907192037921,-23.0515089433614
17.0075,-22.0693272531498,-3.12852431507916,-3.12852431507885,-22.2882260020856
